"Carimbo de data/hora","Nome de usuário","Qual tipo de curso você está fazendo?","Em qual escola você estuda?","Você mora na mesma cidade da escola que você estuda?","Você tinha dificuldades para ir à sua escola antes da Pandemia?","Qual modalidade de ensino você está cursando durante a Pandemia?","Quando você ficou sabendo que teria ensino remoto, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino remoto, o que você está achando?","Quais tecnologias você usar para estudar remotamente?","Você está sentindo dificuldades em utilizar a tecnologias?","Quais são os desafios do ensino remoto para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino remoto está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino Remoto e ensino Presencial, qual você prefere?","Quando você ficou sabendo que teria ensino EAD, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino EAD, o que você está achando?","Quais tecnologias você usa para seus estudos EAD?","Você está sentindo dificuldades em utilizar estas tecnologias?","Quais são os desafios do ensino EAD para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino EAD está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino EAD e o ensino Presencial, qual você prefere?"
"2020/05/14 11:24:52 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams;WhatsApp;Youtube","As vezes","Não consigo ter foco em casa","Estou com dor de cabeça","Sim","Talvez","Ensino Presencial","","","","","","","","","",""
"2020/05/14 11:39:45 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Achava que seria bom","Estou achando bom","Microsoft Teams;Youtube","Não","Não tenho","Não","Sim","Sim","Ensino Presencial","","","","","","","","","",""
"2020/05/14 11:49:59 PM GMT-3","","Curso Superior","Unitoledo","Sim","Dependo de transporte pago;Distância longa","Ensino EAD","","","","","","","","","","","Sim","Eu não sabia o que pensar","Estou achando Ruim","Google Hangouts Meet","Não","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Não consigo me adaptar","Estou com um estresse maior","Não","Não","Ensino Presencial"
"2020/05/15 1:55:54 AM GMT-3","","Curso Superior","Unip","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando horrível","Google class e zoom","As vezes","Minha internet não é boa;Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Os professores não estão se adaptando;Professores nao esclarecem o que realmente deve ser feito e qual o prazo a ser realizados ","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior;Estou com dor no corpo, por causa de ambiente impróprio para estudo;Por causa do estresse que aumentou apresento sintomas de falta de foco em assuntos longos, hematomas, problemas para dormir e comer ... problemas gastrointestinais. ","Não","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/15 5:51:05 AM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams","Sim","Não consigo ter foco em casa;Não consigo me adaptar","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior;Estou com dor no corpo, por causa de ambiente impróprio para estudo","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/15 7:16:50 AM GMT-3","","Auxiliar técnico em enfermagem","IEA","Não","Dependo de transporte gratuito","Ensino EAD","","","","","","","","","","","Sim","Eu não sabia o que pensar","Estou achando bom","Apostilas e pesquisa Google","As vezes","Consegui superar os desafios","Estou com cansaço na visão","Não","Apenas para complemento nos estudos","Ensino Presencial"
"2020/05/15 8:40:53 AM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams","Não","Consegui superar os desafios","Não","Sim, ou até melhor.","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/15 9:09:52 AM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade;Dependo de transporte pago","Ensino Remoto","Não","Eu achava que seria horrível","Estou achando Excelente","Microsoft Teams","Não","Consegui superar os desafios","Estou com cansaço na visão","Sim","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/15 9:16:44 AM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte gratuito;Tenho dificuldades de horários","Ensino Remoto","Sim","Eu achava que seria horrível","Estou achando horrível","Microsoft Teams","As vezes","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Não consigo me adaptar a esse modelo de ensino","Estou com dor de cabeça","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/15 9:27:11 AM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams","Não","A luz do computar me atrapalha ","Estou com cansaço na visão;Estou com dor no corpo, por causa de ambiente impróprio para estudo","Não","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/15 10:58:55 AM GMT-3","","Curso Superior","Fatec","Não","Não tenho dificuldade","Ensino Remoto","Talvez","Achei que seria Ruim","Estou achando horrível","Microsoft Teams","Não","Não consigo ter foco em casa","Não","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/15 2:10:24 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Achava que seria bom","Estou achando bom","Microsoft Teams;Skype;WhatsApp;TeamViewer","Não","Consegui superar os desafios","Não","Não","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/15 2:19:26 PM GMT-3","","Curso Superior","Fatec","Sim","Tenho dificuldades de horários","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams","As vezes","Não consigo ter foco em casa","Não","Sim","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/15 4:25:52 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu não sabia o que pensar","Eu não sei o que pensar","Microsoft Teams","Não","Não há desafio, apenas auto-disciplina.","Estou com cansaço na visão","Não, porque presencialmente os professores conseguem atender uma quantidade maior de alunos e ensino remoto acaba sendo limitado a apenas 1 por vez","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/15 8:26:56 PM GMT-3","","Curso Técnico","Etec","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Achei que seria Ruim","Estou achando Ruim","Microsoft Teams","As vezes","Não consigo ter foco em casa","Estou com dor de cabeça","Não","Apenas para complemento nos estudos","Ensino Presencial"
"2020/05/16 2:01:13 AM GMT-3","","Curso Técnico","Etec","Sim","Dependo de transporte pago;Distância longa","Ensino EAD","","","","","","","","","","","Sim","Eu achava que seria horrível","Estou achando Ruim","Microsoft Teams","As vezes","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Estou com dor de cabeça","Não","Não","Ensino Presencial"
"2020/05/16 10:51:23 AM GMT-3","","Curso Técnico","Etec","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Eu achava que seria horrível","Estou achando Horrível","Microsoft Teams","Sim","Não consigo me adaptar a esse modelo de ensino","Estou com um estresse maior","nem um pouco nem chega perto horrivel","Não","Ensino Presencial"
